GuysAccession	Symbol	GuysAccessionVersion
NM_005050	ABCD4	3
NM_001127214	ACSF3	2
NM_000028	AGL	2
NM_000034	ALDOA	3
NM_000035	ALDOB	3
NM_030943	AMN	3
NM_000045	ARG1	3
NM_000048	ASL	3
NM_000050	ASS1	4
NM_000071	CBS	2
NM_016579	CD320	3
NM_001122633	CPS1	2
NM_001081	CUBN	3
NM_001976	ENO3	4
NM_005670	EPM2A	3
NM_000507	FBP1	3
NM_000151	G6PC	3
NM_000152	GAA	3
NM_000158	GBE1	3
NM_005142	GIF	2
NM_004130	GYG1	3
NM_003918	GYG2	2
NM_002103	GYS1	4
NM_021957	GYS2	3
NM_005334	HCFC1	2
NM_002225	IVD	3
NM_001122606	LAMP2	1
NM_005566	LDHA	3
NM_000235	LIPA	2
NM_018368	LMBRD1	3
NM_032601	MCEE	3
NM_012213	MLYCD	2
NM_172250	MMAA	2
NM_052845	MMAB	3
NM_015506	MMACHC	2
NM_015702	MMADHC	2
NM_005957	MTHFR	4
NM_000254	MTR	2
NM_024010	MTRR	2
NM_000255	MUT	3
NM_153006	NAGS	2
NM_198586	NHLRC1	2
NM_000274	OAT	3
NM_000531	OTC	5
NM_002626	PFKL	4
NM_000289	PFKM	5
NM_000290	PGAM2	3
NM_000291	PGK1	3
NM_002633	PGM1	2
NM_002637	PHKA1	3
NM_000292	PHKA2	2
NM_000293	PHKB	2
NM_006213	PHKG1	4
NM_000294	PHKG2	2
NM_006241	PPP1R2	4
NM_016203	PRKAG2	3
NM_002863	PYGL	4
NM_005609	PYGM	2
NM_001160210	SLC25A13	1
NM_014252	SLC25A15	3
NM_000340	SLC2A2	1
NM_001164277	SLC37A4	1
NM_080669	SLC46A1	4
NM_003850	SUCLA2	2
NM_000355	TCN2	3
