GuysAccession	Symbol	GuysAccessionVersion
NM_001101	ACTB	0
NM_006796	AFG3L2	0
NM_031418	ANO3	0
NM_175073	APTX	0
NM_000051	ATM	0
NM_022089	ATP13A2	0
NM_000702	ATP1A2	0
NM_152296	ATP1A3	0
NM_000053	ATP7B	0
NM_001031726	C19orf12	0
NM_001127221	CACNA1A	0
NM_014043	CHMP2B	0
NM_000096	CP	0
NM_005211	CSF1R	0
NM_000784	CYP27A1	0
NM_025000	DCAF17	0
NM_004082	DCTN1	0
NM_001256864	DNAJC6	0
NM_012179	FBXO7	0
NM_000146	FTL	0
NM_000157	GBA	0
NM_000161	GCH1	0
NM_002055	GFAP	0
NM_182978	GNAL	0
NM_002087	GRN	0
NM_019096	GTPBP2	0
NM_002143	HPCA	0
NM_014727	KMT2B	0
NM_198578	LRRK2	0
NM_000081	LYST	0
NM_001301365	LYST	0
NM_016835	MAPT	0
NM_001123066	MAPT	0
NM_153638	PANK2	0
NM_007262	PARK7	0
NM_001130690	PDE10A	0
NM_002608	PDGFB	0
NM_002609	PDGFRB	0
NM_032409	PINK1	0
NM_003560	PLA2G6	0
NM_015488	PNKD	0
NM_004562	PRKN	0
NM_003690	PRKRA	0
NM_000311	PRNP	0
NM_145239	PRRT2	0
NM_171998	RAB39B	0
NM_207111	RNF216	0
NM_003919	SGCE	0
NM_025243	SLC19A3	0
NM_006749	SLC20A2	0
NM_006516	SLC2A1	0
NM_018713	SLC30A10	0
NM_000345	SNCA	0
NM_025137	SPG11	0
NM_003124	SPR	0
NM_003895	SYNJ1	0
NM_013254	TBK1	0
NM_018105	THAP1	0
NM_004085	TIMM8A	0
NM_000113	TOR1A	0
NM_006087	TUBB4A	0
NM_015186	VPS13A	0
NM_033305	VPS13A	0
NM_018206	VPS35	0
NM_001029896	WDR45	0
NM_004736	XPR1	0
