GuysAccession	Symbol	GuysAccessionVersion
NM_001100	ACTA1	3
NM_139343	BIN1	2
NM_138638	CFL2	4
NM_001005360	DNM2	2
NM_001101362	KBTBD13	2
NM_000252	MTM1	2
NM_017534	MYH2	5
NM_002470	MYH3	3
NM_000257	MYH7	2
NM_002472	MYH8	2
NM_001271208	NEB	1
NM_000540	RYR1	2
NM_020451	SEPN1	2
NM_003282	TNNI2	3
NM_003283	TNNT1	4
NM_006757	TNNT3	3
NM_003289 	TPM2	3
NM_152263	TPM3	2
NM_001267550	TTN	1
NM_004826	ECEL1	2
NM_032790	ORAI1	3
NM_003156	STIM1	3
NM_001031737	CCDC78	2
NM_006063	KLHL41	2
NM_152393	KLHL40	2
NM_001080449	DNA2	2
NM_012243	SLC35A3	1
NM_002465	MYBPC1	3
NM_022068	PIEZO2	2
NM_018684	ZC4H2	3
NM_018668	VPS33B	3
NM_002294	LAMP2	2
NM_001017980	VMA21	3
NM_145064	STAC3	1
NM_198271	LMOD3	3
NM_032446	MEGF10	2
NM_020964	EPG5	2
