GuysAccession	Symbol	GuysAccessionVersion
NM_005163	AKT1	0
NM_001127510	APC	0
NM_001011645	AR	0
NM_007297	BRCA1	0
NM_016507	CDK12	0
NM_001195132	CDKN2A	0
NM_001098210	CTNNB1	0
NM_004448	ERBB2	0
NM_001982	ERBB3	0
NM_005235	ERBB4	0
NM_018315	FBXW7	0
NM_001174067	FGFR1	0
NM_022970	FGFR2	0
NM_001163213	FGFR3	0
NM_080425	GNAS	0
NM_001282387	IDH1	0
NM_002168	IDH2	0
NM_001281494	MSH6	0
NM_001042492	NF1	0
NM_002529	NTRK1	0
NM_001007097	NTRK2	0
NM_001007156	NTRK3	0
NM_001256849	POLD1	0
NM_020975	RET	0
NM_004168	SDHA	0
NM_003001	SDHC	0
NM_003002	SDHD	0
NM_001128849	SMARCA4	0
NM_005648	TCEB1	0
NM_000368	TSC1	0
NM_001077183	TSC2	0
NM_198156	VHL	0
