GuysAccession	Symbol	GuysAccessionVersion
NM_001848	COL6A1	2
NM_001849	COL6A2	3
NM_004369	COL6A3	3
NM_004370	COL12A1	5
NM_024301	FKRP	4
NM_001079802	FKTN	1
NM_000426	LAMA2	3
NM_004737	LARGE1	4
NM_001243766	POMGNT1	1
NM_032806	POMGNT2	4
NM_007171	POMT1	3
NM_013382	POMT2	5
NM_001845	COL4A1	4
NM_001846	COL4A2	2
NM_001165928	DAG1	2
NM_003859	DPM1	1
NM_003863	DPM2	3
NM_153741	DPM3	1
NM_014908	DOLK	3
NM_001101426	ISPD	3
NM_013334	GMPPB	2
NM_152490	B3GALNT2	3
NM_005198	CHKB	4
NM_000445	PLEC	3
NM_001037633	SIL1	1
NM_006876	B4GAT1	2
NM_032237	POMK	4
NM_002206	ITGA7	2
NM_002207	ITGA9	2
NM_014254	TMEM5	1
NM_006077	MICU1	3
