GuysAccession	Symbol	GuysAccessionVersion
NM_001723	DST	0
NM_004357	CD151	0
NM_000494	COL17A1	0
NM_000094	COL7A1	0
NM_024060	AHNAK	0
NM_024422	DSC2	0
NM_001941	DSC3	0
NM_001942	DSG1	0
NM_001943	DSG2	0
NM_004415	DSP	0
NM_001202858	ECM1	0
NM_015065	EXPH5	0
NM_002204	ITGA3	0
NM_001079818	ITGA6	0
NM_133376	ITGB1	0
NM_000213	ITGB4	0
NM_002230	JUP	0
NM_017671	FERMT1	0
NM_000526	KRT14	0
NM_000424	KRT5	0
NM_198129	LAMA3	0
NM_000228	LAMB3	0
NM_005562	LAMC2	0
NM_003722	TP63	0
NM_000299	PKP1	0
NM_201380	PLEC	0
NM_203475	PORCN	0
NM_201631	TGM5	0
NM_001349427	KLHL24	0
