GuysAccession	Symbol	GuysAccessionVersion
NM_000033	ABCD1	0
NM_006796	AFG3L2	0
NM_020919	ALS2	0
NM_001145	ANG	0
NM_145869	ANXA11	0
NM_000484	APP	0
NM_000487	ARSA	0
NM_022089	ATP13A2	0
NM_152296	ATP1A3	0
NM_000053	ATP7B	0
NM_001698	AUH	0
NM_001031726	C19orf12	0
NM_018896	CACNA1G	0
NM_001761	CCNF	0
NM_213720	CHCHD10	0
NM_016139	CHCHD2	0
NM_014043	CHMP2B	0
NM_004366	CLCN2	0
NM_017882	CLN6	0
NM_025233	COASY	0
NM_000096	CP	0
NM_005211	CSF1R	0
NM_003793	CTSF	0
NM_000784	CYP27A1	0
NM_004820	CYP7B1	0
NM_018122	DARS2	0
NM_004082	DCTN1	0
NM_025219	DNAJC5	0
NM_001256864	DNAJC6	0
NM_001130823	DNMT1	0
NM_001414	EIF2B1	0
NM_014239	EIF2B2	0
NM_020365	EIF2B3	0
NM_001034116	EIF2B4	0
NM_003907	EIF2B5	0
NM_022726	ELOVL4	0
NM_005670	EPM2A	0
NM_012179	FBXO7	0
NM_014845	FIG4	0
NM_000146	FTL	0
NM_004960	FUS	0
NM_000161	GCH1	0
NM_002055	GFAP	0
NM_002087	GRN	0
NM_000520	HEXA	0
NM_000521	HEXB	0
NM_031157	HNRNPA1	0
NM_002775	HTRA1	0
NM_021999	ITM2B	0
NM_004977	KCNC3	0
NM_004980	KCND3	0
NM_004984	KIF5A	0
NM_198578	LRRK2	0
NM_001301365	LYST	0
NM_016835	MAPT	0
NM_198586	NHLRC1	0
NM_000435	NOTCH3	0
NM_000271	NPC1	0
NM_006432	NPC2	0
NM_001008211	OPTN	0
NM_153638	PANK2	0
NM_007262	PARK7	0
NM_002608	PDGFB	0
NM_002609	PDGFRB	0
NM_005022	PFN1	0
NM_032409	PINK1	0
NM_003560	PLA2G6	0
NM_004562	PRKN	0
NM_000311	PRNP	0
NM_000021	PSEN1	0
NM_000447	PSEN2	0
NM_207111	RNF216	0
NM_015046	SETX	0
NM_006749	SLC20A2	0
NM_000345	SNCA	0
NM_000454	SOD1	0
NM_014946	SPAST	0
NM_025137	SPG11	0
NM_003900	SQSTM1	0
NM_003895	SYNJ1	0
NM_007375	TARDBP	0
NM_013254	TBK1	0
NM_001114748	TMEM240	0
NM_018965	TREM2	0
NM_017775	TTC19	0
NM_003332	TYROBP	0
NM_013444	UBQLN2	0
NM_004738	VAPB	0
NM_007126	VCP	0
NM_015186	VPS13A	0
NM_018206	VPS35	0
NM_001029896	WDR45	0
NM_004736	XPR1	0
NM_020702	MYORG	0
