GuysAccession	Symbol	GuysAccessionVersion
NM_001372123	IKZF5	0
NM_201280	BLOC1S5	0
NM_005513	GTF2E1	0
NM_152683	PRIMPOL	0
NM_017755	NSUN2	0
NM_002913	RFC1	0
NM_181471	RFC2	0
NM_002915	RFC3	0
NM_002916	RFC4	0
NM_007370	RFC5	0
NM_018669	WDR4	0
NM_006154	NEDD4	0
NM_022092	CHTF18	0
NM_001306144	MTMR1	0
NM_152381	XIRP2	0
NM_198721	COL25A1	0
NM_004837	GGPS1	0
NM_012232	CAVIN1	0
NM_002226	JAG2	0
NM_006828	ASCC3	0
NM_003587	DHX16	0
NM_005262	GFER	0
NM_000432	MYL2	0
NM_002478	MYOD1	0
NM_178526	SLC25A42	0
NM_021738	SVIL	0
NM_003279	TNNC2	0
NM_002875	RAD51	0
NM_005431	XRCC2	0
NM_000129	F13A1	0
NM_000130	F5	0
NM_000132	F8	0
NM_000821	GGCX	0
NM_139279	MCFD2	0
NM_000313	PROS1	0
NM_000552	VWF	0
NM_001173466	AAAS	0
NM_001605	AARS1	0
NM_020745	AARS2	0
NM_005763	AASS	0
NM_020686	ABAT	0
NM_005502	ABCA1	0
NM_001271696	ABCB7	0
NM_000033	ABCD1	0
NM_022436	ABCG5	0
NM_022437	ABCG8	0
NM_001042472	ABHD12	0
NM_000018	ACADVL	0
NM_004035	ACOX1	0
NM_174917	ACSF3	0
NM_001100	ACTA1	0
NM_001101	ACTB	0
NM_001130004	ACTN1	0
NM_001103	ACTN2	0
NM_000020	ACVRL1	0
NM_139025	ADAMTS13	0
NM_001111	ADAR	0
NM_183357	ADCY5	0
NM_152328	ADSS1	0
NM_006796	AFG3L2	0
NM_015239	AGTPBP1	0
NM_000030	AGXT	0
NM_004208	AIFM1	0
NM_001142416	AIMP1	0
NM_002860	ALDH18A1	0
NM_000382	ALDH3A2	0
NM_020919	ALS2	0
NM_001368809	AMPD2	0
NM_001145	ANG	0
NM_014915	ANKRD26	0
NM_018075	ANO10	0
NM_031418	ANO3	0
NM_213599	ANO5	0
NM_001025356	ANO6	0
NM_145869	ANXA11	0
NM_001283	AP1S1	0
NM_003916	AP1S2	0
NM_003664	AP3B1	0
NM_001261826	AP3D1	0
NM_006594	AP4B1	0
NM_007347	AP4E1	0
NM_004722	AP4M1	0
NM_001128126	AP4S1	0
NM_014855	AP5Z1	0
NM_000039	APOA1	0
NM_000484	APP	0
NM_175073	APTX	0
NM_000045	ARG1	0
NM_014629	ARHGEF10	0
NM_001080479	ARHGEF28	0
NM_015161	ARL6IP1	0
NM_005720	ARPC1B	0
NM_000487	ARSA	0
NM_139058	ARX	0
NM_032810	ATAD1	0
NM_033064	ATCAY	0
NM_015915	ATL1	0
NM_015459	ATL3	0
NM_000051	ATM	0
NM_022089	ATP13A2	0
NM_000701	ATP1A1	0
NM_000702	ATP1A2	0
NM_152296	ATP1A3	0
NM_021949	ATP2B3	0
NM_005765	ATP6AP2	0
NM_000052	ATP7A	0
NM_000053	ATP7B	0
NM_000332	ATXN1	0
NM_013236	ATXN10	0
NM_000333	ATXN7	0
NM_001698	AUH	0
NM_152490	B3GALNT2	0
NM_001478	B4GALNT1	0
NM_006876	B4GAT1	0
NM_004281	BAG3	0
NM_005745	BCAP31	0
NM_183050	BCKDHB	0
NM_004328	BCS1L	0
NM_001003800	BICD2	0
NM_139343	BIN1	0
NM_000057	BLM	0
NM_212550	BLOC1S3	0
NM_012388	BLOC1S6	0
NM_007294	BRCA1	0
NM_000059	BRCA2	0
NM_032043	BRIP1	0
NM_001122955	BSCL2	0
NM_152269	C12orf65	0
NM_001031726	C19orf12	0
NM_001256054	C9orf72	0
