GuysAccession	Symbol	GuysAccessionVersion
NM_001100	ACTA1	0
NM_001103	ACTN2	0
NM_152328	ADSSL1	0
NM_139343	BIN1	0
NM_000069	CACNA1S	0
NM_001031737	CCDC78	0
NM_138638	CFL2	0
NM_004370	COL12A1	0
NM_001848	COL6A1	0
NM_001849	COL6A2	0
NM_004369	COL6A3	0
NM_001005361	DNM2	0
NM_173660	DOK7	0
NM_004826	ECEL1	0
NM_020964	EPG5	0
NM_017946	FKBP14	0
NM_005087	FXR1	0
NM_001101362	KBTBD13	0
NM_152393	KLHL400
NM_006063	KLHL41	0
NM_170707	LMNA	0
NM_198271	LMOD3	0
NM_016653	MAP3K200
NM_032446	MEGF100
NM_006077	MICU1	0
NM_000252	MTM1	0
NM_002465	MYBPC1	0
NM_017534	MYH2	0
NM_002470	MYH3	0
NM_000257	MYH7	0
NM_002472	MYH8	0
NM_079420	MYL1	0
NM_001080483	MYMK	0
NM_032608	MYO18B	0
NM_032578	MYPN	0
NM_001271208	NEB	0
NM_032790	ORAI1	0
NM_002584	PAX7	0
NM_022068	PIEZO2	0
NM_024854	PYROXD1	0
NM_000540	RYR1	0
NM_001036	RYR3	0
NM_000334	SCN4A	0
NM_020451	SELENON	0
NM_001151	SLC25A4	0
NM_005876	SPEG	0
NM_145064	STAC3	0
NM_003156	STIM1	0
NM_003282	TNNI2	0
NM_003283	TNNT1	0
NM_006757	TNNT3	0
NM_003289	TPM2	0
NM_152263	TPM3	0
NM_016213	TRIP4	0
NM_001267550	TTN	0
NM_001017980	VMA21	0
