GuysAccession	Symbol	GuysAccessionVersion
NM_000033	ABCD1	0
NM_001111	ADAR	0
NM_006796	AFG3L2	0
NM_001142416	AIMP1	0
NM_002860	ALDH18A1	0
NM_020919	ALS2	0
NM_006594	AP4B1	0
NM_007347	AP4E1	0
NM_004722	AP4M1	0
NM_001128126	AP4S1	0
NM_014855	AP5Z1	0
NM_000045	ARG1	0
NM_015915	ATL1	0
NM_022089	ATP13A2	0
NM_001478	B4GALNT1	0
NM_001122955	BSCL2	0
NM_152269	C12orf65	0
NM_001031726	C19orf12	0
NM_005186	CAPN1	0
NM_000784	CYP27A1	0
NM_183075	CYP2U1	0
NM_004820	CYP7B1	0
NM_001160147	DDHD1	0
NM_015214	DDHD2	0
NM_001776	ENTPD1	0
NM_006459	ERLIN1	0
NM_007175	ERLIN2	0
NM_024306	FA2H	0
NM_006567	FARS2	0
NM_000144	FXN	0
NM_020944	GBA2	0
NM_000161	GCH1	0
NM_020771	HACE1	0
NM_004974	KCNA2	0
NM_004187	KDM5C	0
NM_020738	KIDINS220	0
NM_001244008	KIF1A	0
NM_006612	KIF1C	0
NM_004984	KIF5A	0
NM_000425	L1CAM	0
NM_144599	NIPA1	0
NM_177400	NKX6-2	0
NM_012229	NT5C2	0
NM_001017989	OPA3	0
NM_000533	PLP1	0
NM_001166111	PNPLA6	0
NM_007055	POLR3A	0
NM_000021	PSEN1	0
NM_001164730	REEP1	0
NM_016606	REEP2	0
NM_005619	RTN2	0
NM_014363	SACS	0
NM_032861	SERAC1	0
NM_006517	SLC16A2	0
NM_003038	SLC1A4	0
NM_015087	SPART	0
NM_014946	SPAST	0
NM_025137	SPG11	0
NM_016630	SPG21	0
NM_003119	SPG7	0
NM_006070	TFG	0
NM_006087	TUBB4A	0
NM_016525	UBAP1	0
NM_004181	UCHL1	0
NM_014846	WASHC5	0
NM_019613	WDR45B	0
NM_015346	ZFYVE26	0
NM_001349	DARS1	0
