GuysAccession	Symbol	GuysAccessionVersion
NM_152490	B3GALNT2	0
NM_006876	B4GAT1	0
NM_005198	CHKB	0
NM_004370	COL12A1	0
NM_001848	COL6A1	0
NM_001849	COL6A2	0
NM_004369	COL6A3	0
NM_001165928	DAG1	0
NM_004006	DMD	0
NM_014908	DOLK	0
NM_003863	DPM2	0
NM_001159699	FHL1	0
NM_001159702	FHL1	0
NM_024301	FKRP	0
NM_001079802	FKTN	0
NM_013334	GMPPB	0
NM_016532	INPP5K	0
NM_002206	ITGA7	0
NM_001144997	ITGA7	0
NM_000426	LAMA2	0
NM_004737	LARGE1	0
NM_170707	LMNA	0
NM_006077	MICU1	0
NM_018116	MSTO1	0
NM_001080483	MYMK	0
NM_000445	PLEC	0
NM_001243766	POMGNT1	0
NM_017739	POMGNT1	0
NM_032806	POMGNT2	0
NM_032237	POMK	0
NM_007171	POMT1	0
NM_013382	POMT2	0
NM_020451	SELENON	0
NM_022464	SIL1	0
NM_182961	SYNE1	0
NM_033071	SYNE1	0
NM_021942	TRAPPC11	0
