GuysAccession	Symbol	GuysAccessionVersion
NM_000038	APC	0
NM_000051	ATM	0
NM_004329	BMPR1A	0
NM_007294	BRCA1	0
NM_000059	BRCA2	0
NM_032043	BRIP1	0
NM_004360	CDH1	0
NM_007194	CHEK2	0
NM_002354	EPCAM	0
NM_013372	GREM1	0
NM_000249	MLH1	0
NM_000251	MSH2	0
NM_002439	MSH3	0
NM_000179	MSH6	0
NM_001128425	MUTYH	0
NM_002485	NBN	0
NM_002528	NTHL1	0
NM_024675	PALB2	0
NM_000535	PMS2	0
NM_001256849	POLD1	0
NM_006231	POLE	0
NM_058216	RAD51C	0
NM_002878	RAD51D	0
NM_017763	RNF43	0
NM_005359	SMAD4	0
NM_001128849	SMARCA4	0
NM_000455	STK11	0
NM_000546	TP53	0
