GuysAccession	Symbol	GuysAccessionVersion
NM_020686	ABAT	0
NM_004035	ACOX1	0
NM_001101	ACTB	0
NM_001111	ADAR	0
NM_183357	ADCY5	0
NM_006796	AFG3L2	0
NM_002860	ALDH18A1	0
NM_031418	ANO3	0
NM_003916	AP1S2	0
NM_175073	APTX	0
NM_000487	ARSA	0
NM_000051	ATM	0
NM_022089	ATP13A2	0
NM_000702	ATP1A2	0
NM_152296	ATP1A3	0
NM_000053	ATP7B	0
NM_005745	BCAP31	0
NM_004328	BCS1L	0
NM_001031726	C19orf12	0
NM_001256054	C9orf72	0
NM_001127221	CACNA1A	0
NM_018896	CACNA1G	0
NM_000726	CACNB4	0
NM_000086	CLN3	0
NM_001042432	CLN3	0
NM_006493	CLN5	0
NM_001258392	CLPB	0
NM_025233	COASY	0
NM_004369	COL6A3	0
NM_001303	COX10	0
NM_078470	COX15	0
NM_004376	COX15	0
NM_000100	CSTB	0
NM_025000	DCAF17	0
NM_001082971	DDC	0
NM_001931	DLAT	0
NM_000108	DLD	0
NM_021800	DNAJC12	0
NM_004092	ECHS1	0
NM_024306	FA2H	0
NM_012179	FBXO7	0
NM_016729	FOLR1	0
NM_017547	FOXRED1	0
NM_000146	FTL	0
NM_000144	FXN	0
NM_000157	GBA	0
NM_000159	GCDH	0
NM_000161	GCH1	0
NM_020435	GJC2	0
NM_000404	GLB1	0
NM_001146040	GLRA1	0
NM_000405	GM2A	0
NM_182978	GNAL	0
NM_020988	GNAO1	0
NM_019096	GTPBP2	0
NM_005334	HCFC1	0
NM_000520	HEXA	0
NM_014362	HIBCH	0
NM_002143	HPCA	0
NM_002156	HSPD1	0
NM_013247	HTRA2	0
NM_022168	IFIH1	0
NM_000217	KCNA1	0
NM_001161352	KCNMA1	0
NM_172107	KCNQ2	0
NM_001282684	KCTD17	0
NM_006612	KIF1C	0
NM_014727	KMT2B	0
NM_133259	LRPPRC	0
NM_138395	MARS2	0
NM_016011	MECR	0
NM_005591	MRE11	0
NM_139242	MTFMT	0
NM_004541	NDUFA1	0
NM_004544	NDUFA10	0
NM_024120	NDUFAF5	0
NM_152416	NDUFAF6	0
NM_005006	NDUFS1	0
NM_002495	NDUFS4	0
NM_024407	NDUFS7	0
NM_002496	NDUFS8	0
NM_007103	NDUFV1	0
NM_018297	NGLY1	0
NM_001079668	NKX2-1	0
NM_177400	NKX6-2	0
NM_000271	NPC1	0
NM_006432	NPC2	0
NM_002538	OCLN	0
NM_001017989	OPA3	0
NM_025136	OPA3	0
NM_153638	PANK2	0
NM_000282	PCCA	0
NM_000532	PCCB	0
NM_001130690	PDE10A	0
NM_002599	PDE2A	0
NM_002608	PDGFB	0
NM_000284	PDHA1	0
NM_003477	PDHX	0
NM_001171155	PET100	0
NM_032409	PINK1	0
NM_003560	PLA2G6	0
NM_015488	PNKD	0
NM_007254	PNKP	0
NM_007055	POLR3A	0
NM_004562	PRKN	0
NM_003690	PRKRA	0
NM_000311	PRNP	0
NM_145239	PRRT2	0
NM_000317	PTS	0
NM_000320	QDPR	0
NM_171998	RAB39B	0
NM_001142279	RNASEH2B	0
NM_024570	RNASEH2B	0
NM_032193	RNASEH2C	0
NM_003730	RNASET2	0
NM_015474	SAMHD1	0
NM_001330260	SCN8A	0
NM_032861	SERAC1	0
NM_015046	SETX	0
NM_003919	SGCE	0
NM_025243	SLC19A3	0
NM_006749	SLC20A2	0
NM_006516	SLC2A1	0
NM_018713	SLC30A10	0
NM_001128431	SLC39A14	0
NM_001044	SLC6A3	0
NM_005629	SLC6A8	0
NM_003124	SPR	0
NM_003850	SUCLA2	0
NM_000456	SUOX	0
NM_003172	SURF1	0
NM_003895	SYNJ1	0
NM_004606	TAF1	0
NM_199292	TH	0
NM_018105	THAP1	0
NM_004085	TIMM8A	0
NM_000113	TOR1A	0
NM_022445	TPK1	0
NM_033629	TREX1	0
NM_006087	TUBB4A	0
NM_018052	VAC14	0
NM_014231	VAMP1	0
NM_014232	VAMP2	0
NM_015186	VPS13A	0
NM_033305	VPS13A	0
NM_015378	VPS13D	0
NM_001029896	WDR45	0
NM_032856	WDR73	0
NM_003403	YY1	0
NM_020928	ZSWIM6	0
