GuysAccession	Symbol	GuysAccessionVersion
NM_000016	ACADM	0
NM_139025	ADAMTS13	0
NM_000384	APOB	0
NM_000041	APOE	0
NM_000492	CFTR	0
NM_004006	DMD	0
NM_000504	F10	0
NM_000128	F11	0
NM_000129	F13A1	0
NM_001994	F13B	0
NM_000506	F2	0
NM_000130	F5	0
NM_000131	F7	0
NM_000132	F8	0
NM_000133	F9	0
NM_000508	FGA	0
NM_005141	FGB	0
NM_000142	FGFR3	0
NM_021870	FGG	0
NM_000821	GGCX	0
NM_000426	LAMA2	0
NM_015627	LDLRAP1	0
NM_005570	LMAN1	0
NM_139279	MCFD2	0
NM_000252	MTM1	0
NM_003828	MTMR1	0
NM_000435	NOTCH3	0
NM_000312	PROC	0
NM_000313	PROS1	0
NM_024006	VKORC1	0
NM_000552	VWF	0
