GuysAccession	Symbol	GuysAccessionVersion
NM_000382	ALDH3A2	0
NM_001111	ADAR	0
NM_000033	ABCD1	0
NM_020745	AARS2	0
NM_001605	AARS	0
NM_000487	ARSA	0
NM_004366	CLCN2	0
NM_001845	COL4A1	0
NM_001846	COL4A2	0
NM_005211	CSF1R	0
NM_025099	CTC1	0
NM_000308	CTSA	0
NM_000784	CYP27A1	0
NM_018122	DARS2	0
NM_001083614	EARS2	0
NM_001414	EIF2B1	0
NM_014239	EIF2B2	0
NM_020365	EIF2B3	0
NM_003907	EIF2B5	0
NM_001034116	EIF2B4	0
NM_000153	GALC	0
NM_000158	GBE1	0
NM_002055	GFAP	0
NM_000165	GJA1	0
NM_000166	GJB1	0
NM_020435	GJC2	0
NM_000169	GLA	0
NM_000404	GLB1	0
NM_152722	HEPACAM	0
NM_000520	HEXA	0
NM_000191	HMGCL	0
NM_002775	HTRA1	0
NM_024884	L2HGDH	0
NM_005573	LMNB1	0
NM_020533	MCOLN1	0
NM_005957	MTHFR	0
NM_000435	NOTCH3	0
NM_000276	OCRL	0
NM_000277	PAH	0
NM_000466	PEX1	0
NM_153818	PEX10	0
NM_003846	PEX11B	0
NM_000286	PEX12	0
NM_002618	PEX13	0
NM_004565	PEX14	0
NM_057174	PEX16	0
NM_002857	PEX19	0
NM_000318	PEX2	0
NM_017929	PEX26	0
NM_003630	PEX3	0
NM_000319	PEX5	0
NM_000287	PEX6	0
NM_000288	PEX7	0
NM_000533	PLP1	0
NM_203290	POLR1C	0
NM_007055	POLR3A	0
NM_018082	POLR3B	0
NM_002778	PSAP	0
NM_000314	PTEN	0
NM_006397	RNASEH2A	0
NM_001142279	RNASEH2B	0
NM_024570	RNASEH2B	0
NM_032193	RNASEH2C	0
NM_003730	RNASET2	0
NM_207111	RNF216	0
NM_004586	RPS6KA3	0
NM_015474	SAMHD1	0
NR_033294	SNORD118	0
NM_025137	SPG11	0
NM_018965	TREM2	0
NM_033629	TREX1	0
NM_006087	TUBB4A	0
NM_001257988	TYMP	0
NM_001257989	TYMP	0
NM_003332	TYROBP	0
NM_015346	ZFYVE26	0
