GuysAccession	Symbol	GuysAccessionVersion
NM_000293	PHKB	2
NM_006213	PHKG1	4
NM_000294	PHKG2	2
NM_006241	PPP1R2	4
NM_016203	PRKAG2	3
NM_002863	PYGL	4
NM_005609	PYGM	2
NM_000340	SLC2A2	1
NM_001164277	SLC37A4	1
NM_000292	PHKA2	2
NM_002637	PHKA1	3
NM_002633	PGM1	2
NM_000291	PGK1	3
NM_000290	PGAM2	3
NM_000289	PFKM	5
NM_002626	PFKL	4
NM_198586	NHLRC1	2
NM_000235	LIPA	2
NM_005566	LDHA	3
NM_001122606	LAMP2	1
NM_021957	GYS2	3
NM_002103	GYS1	4
NM_003918	GYG2	2
NM_004130	GYG1	3
NM_000158	GBE1	3
NM_000152	GAA	3
NM_000151	G6PC	3
NM_000507	FBP1	3
NM_005670	EPM2A	3
NM_001976	ENO3	4
NM_000035	ALDOB	3
NM_000034	ALDOA	3
NM_000028	AGL	2
