GuysAccession	Symbol	GuysAccessionVersion
NM_001605	AARS	0
NM_005502	ABCA1	0
NM_004208	AIFM1	0
NM_015915	ATL1	0
NM_001127713	ATL1	0
NM_000701	ATP1A1	0
NM_000052	ATP7A	0
NM_001003800	BICD2	0
NM_001122955	BSCL2	0
NM_032667	BSCL2	0
NM_213720	CHCHD10	0
NM_004373	COX6A1	0
NM_000097	CPOX	0
NM_000784	CYP27A1	0
NM_004082	DCTN1	0
NM_001039550	DNAJB2	0
NM_001005360	DNM2	0
NM_001005361	DNM2	0
NM_001130823	DNMT1	0
NM_001723	DST	0
NM_001376	DYNC1H1	0
NM_000399	EGR2	0
NM_003640	ELP1	0
NM_006329	FBLN5	0
NM_139241	FGD4	0
NM_001304481	FGD4	0
NM_001304480	FGD4	0
NM_014845	FIG4	0
NM_018972	GDAP1	0
NM_000166	GJB1	0
NM_021629	GNB4	0
NM_005340	HINT1	0
NM_033500	HK1	0
NM_000190	HMBS	0
NM_001540	HSPB1	0
NM_014365	HSPB8	0
NM_002180	IGHMBP2	0
NM_022489	INF2	0
NM_001244008	KIF1A	0
NM_004321	KIF1A	0
NM_004984	KIF5A	0
NM_001136473	LITAF	0
NM_170707	LMNA	0
NM_138361	LRSAM1	0
NM_003906	MCM3AP	0
NM_014874	MFN2	0
NM_000902	MME	0
NM_001303256	MORC2	0
NM_002437	MPV17	0
NM_000530	MPZ	0
NM_016156	MTMR2	0
NM_006096	NDRG1	0
NM_021076	NEFH	0
NM_006158	NEFL	0
NM_002506	NGF	0
NM_001007792	NTRK1	0
NM_001012331	NTRK1	0
NM_002529	NTRK1	0
NM_020631	PLEKHG5	0
NM_002677	PMP2	0
NM_000304	PMP22	0
NM_001122764	PPOX	0
NM_021619	PRDM12	0
NM_002764	PRPS1	0
NM_020956	PRX	0
NM_181882	PRX	0
NM_004637	RAB7A	0
NM_001164730	REEP1	0
NM_022912	REEP1	0
NM_001034850	RETREG1	0
NM_002972	SBF1	0
NM_030962	SBF2	0
NM_006514	SCN10A	0
NM_014139	SCN11A	0
NM_002977	SCN9A	0
NM_001113491	SEPTIN9	0
NM_015046	SETX	0
NM_024577	SH3TC2	0
NM_005866	SIGMAR1	0
NM_024531	SLC52A2	0
NM_033409	SLC52A3	0
NM_021815	SLC5A7	0
NM_025137	SPG11	0
NM_006415	SPTLC1	0
NM_004863	SPTLC2	0
NM_006070	TFG	0
NM_015271	TRIM2	0
NM_021625	TRPV4	0
NM_000371	TTR	0
NM_003384	VRK1	0
NM_018979	WNK1	0
NM_213655	WNK1	0
