GuysAccession	Symbol	GuysAccessionVersion
NM_001271010	FLI1	0
NM_001304481	FGD4	0
NM_001256017	GP6	0
NM_013995	LAMP2	0
NM_001012331	NTRK1	0
NM_015665	AAAS	0
NM_004299	ABCB7	0
NM_001127713	ATL1	0
NM_032667	BSCL2	0
NM_044472	CDC42	0
NM_058195	CDKN2A	0
NM_001042432	CLN3	0
NM_001278074	COL5A1	0
NM_004376	COX15	0
NM_001005361	DNM2	0
NM_183040	DTNBP1	0
NM_001130987	DYSF	0
NM_001114753	ENG	0
NM_017449	EPHB2	0
NM_001003791	ERLIN2	0
NM_033084	FANCD2	0
NM_018062	FANCL	0
NM_001159702	FHL1	0
NM_005476	GNE	0
NM_152841	HPS4	0
NM_001144997	ITGA7	0
NM_004321	KIF1A	0
NM_001102416	KNG1	0
NM_001301365	LYST	0
NM_001123066	MAPT	0
NM_138272	MPIG6B	0
NM_001204197	NBEA	0
NM_130837	OPA1	0
NM_025136	OPA3	0
NM_001145031	PLAU	0
NM_001168338	PLG	0
NM_017739	POMGNT1	0
NM_181882	PRX	0
NM_001083602	PTCH1	0
NM_022912	REEP1	0
NM_024570	RNASEH2B	0
NM_133647	SLC12A6	0
NM_033071	SYNE1	0
NM_001061	TBXAS1	0
NM_213674	TPM2	0
NM_001257989	TYMP	0
NM_033305	VPS13A	0
NM_213655	WNK1	0
