GuysAccession	Symbol	GuysAccessionVersion
NM_001173466	AAAS	0
NM_001271696	ABCB7	0
NM_015915	ATL1	0
NM_001122955	BSCL2	0
NM_001791	CDC42	0
NM_000077	CDKN2A	0
NM_000086	CLN3	0
NM_000093	COL5A1	0
NM_078470	COX15	0
NM_001005360	DNM2	0
NM_032122	DTNBP1	0
NM_003494	DYSF	0
NM_001114753	ENG	0
NM_017449	EPHB2	0
NM_007175	ERLIN2	0
NM_033084	FANCD2	0
NM_001114636	FANCL	0
NM_139241	FGD4	0
NM_001159702	FHL1	0
NM_001271010	FLI1	0
NM_001128227	GNE	0
NM_016363	GP6	0
NM_152841	HPS4	0
NM_002206	ITGA7	0
NM_004321	KIF1A	0
NM_000893	KNG1	0
NM_002294	LAMP2	0
NM_001301365	LYST	0
NM_138272	MPIG6B	0
NM_015678	NBEA	0
NM_001007792	NTRK1	0
NM_130837	OPA1	0
NM_001017989	OPA3	0
NM_001145031	PLAU	0
NM_000301	PLG	0
NM_017739	POMGNT1	0
NM_020956	PRX	0
NM_001083602	PTCH1	0
NM_001164730	REEP1	0
NM_024570	RNASEH2B	0
NM_005135	SLC12A6	0
NM_033071	SYNE1	0
NM_001130966	TBXAS1	0
NM_213674	TPM2	0
NM_001257988	TYMP	0
NM_033305	VPS13A	0
NM_018979	WNK1	0
