GuysAccession	Symbol	GuysAccessionVersion
NM_000020	ACVRL1	0
NM_020919	ALS2	0
NM_001145	ANG	0
NM_000045	ARG1	0
NM_000487	ARSA	0
NM_000046	ARSB	0
NM_015915	ATL1	0
NM_001203	BMPR1B	0
NM_001204	BMPR2	0
NM_032667	BSCL2	0
NM_001753	CAV1	0
NM_213720	CHCHD10	0
NM_014043	CHMP2B	0
NM_000308	CTSA	0
NM_001909	CTSD	0
NM_001917	DAO	0
NM_004082	DCTN1	0
NM_001360	DHCR7	0
NM_001013703	EIF2AK4	0
NM_000118	ENG	0
NM_000153	GALC	0
NM_000403	GALE	0
NM_000154	GALK1	0
NM_000155	GALT	0
NM_000159	GCDH	0
NM_016204	GDF2	0
NM_000169	GLA	0
NM_000404	GLB1	0
NM_000405	GM2A	0
NM_000182	HADHA	0
NM_002156	HSPD1	0
NM_002225	IVD	0
NM_002234	KCNA5	0
NM_002246	KCNK3	0
NM_014846	KIAA0196	0
NM_004984	KIF5A	0
NM_000425	L1CAM	0
NM_000235	LIPA	0
NM_199189	MATR3	0
NM_021076	NEFH	0
NM_000434	NEU1	0
NM_144599	NIPA1	0
NM_017617	NOTCH1	0
NM_000435	NOTCH3	0
NM_021980	OPTN	0
NM_001040716	PC	0
NM_005022	PFN1	0
NM_000533	PLP1	0
NM_002693	POLG	0
NM_007215	POLG2	0
NM_002890	RASA1	0
NM_022912	REEP1	0
NM_015046	SETX	0
NM_006517	SLC16A2	0
NM_003060	SLC22A5	0
NM_004733	SLC33A1	0
NM_005359	SMAD4	0
NM_001127217	SMAD9	0
NM_000543	SMPD1	0
NM_014946	SPAST	0
NM_025137	SPG11	0
NM_003119	SPG7	0
NM_003900	SQSTM1	0
NM_139215	TAF15	0
NM_007375	TARDBP	0
NM_013254	TBK1	0
NM_006000	TUBA4A	0
NM_021830	C10orf2	0
NM_013444	UBQLN2	0
NM_004738	VAPB	0
NM_015346	ZFYVE26	0
NM_001002261	ZFYVE27	0
NM_007126	VCP	0
