GuysAccession	Symbol	GuysAccessionVersion
NM_000038	APC	0
NM_000051	ATM	0
NM_004656	BAP1	0
NM_004329	BMPR1A	0
NM_007294	BRCA1	0
NM_000059	BRCA2	0
NM_032043	BRIP1	0
NM_004360	CDH1	0
NM_000075	CDK4	0
NM_000077	CDKN2A	0
NM_007194	CHEK2	0
NM_000143	FH	0
NM_144997	FLCN	0
NM_013372	GREM1	0
NM_006361	HOXB13	0
NM_015074	KIF1B	0
NM_006767	LZTR1	0
NM_002382	MAX	0
NM_005918	MDH2	0
NM_001127500	MET	0
NM_000249	MLH1	0
NM_000251	MSH2	0
NM_000179	MSH6	0
NM_001128425	MUTYH	0
NM_000267	NF1	0
NM_000268	NF2	0
NM_024675	PALB2	0
NM_000535	PMS2	0
NM_001308632	POLD1	0
NM_006231	POLE	0
NM_015450	POT1	0
NM_000264	PTCH1	0
NM_000314	PTEN	0
NM_058216	RAD51C	0
NM_002878	RAD51D	0
NM_000321	RB1	0
NM_020975	RET	0
NM_004168	SDHA	0
NM_017841	SDHAF2	0
NM_003000	SDHB	0
NM_003001	SDHC	0
NM_003002	SDHD	0
NM_005359	SMAD4	0
NM_003073	SMARCB1	0
NM_003079	SMARCE1	0
NM_152594	SPRED1	0
NM_000455	STK11	0
NM_016169	SUFU	0
NM_198253	TERT	0
NM_017849	TMEM127	0
NM_000546	TP53	0
NM_000551	VHL	0
