GuysAccession	Symbol	GuysAccessionVersion
NM_001100	ACTA1	0
NM_139055	ADAMTS15	0
NM_152490	B3GALNT2	0
NM_006876	B4GAT1	0
NM_139343	BIN1	0
NM_000069	CACNA1S	0
NM_001031737	CCDC78	0
NM_138638	CFL2	0
NM_005198	CHKB	0
NM_001843	CNTN1	0
NM_004370	COL12A1	0
NM_001845	COL4A1	0
NM_001846	COL4A2	0
NM_001848	COL6A1	0
NM_001849	COL6A2	0
NM_004369	COL6A3	0
NM_001165928	DAG1	0
NM_001005360	DNM2	0
NM_173660	DOK7	0
NM_014908	DOLK	0
NM_003859	DPM1	0
NM_003863	DPM2	0
NM_153741	DPM3	0
NM_004826	ECEL1	0
NM_020964	EPG5	0
NM_024301	FKRP	0
NM_001079802	FKTN	0
NM_013334	GMPPB	0
NM_004486	GOLGA2	0
NM_014241	HACD1	0
NM_016532	INPP5K	0
NM_001101426	ISPD	0
NM_002206	ITGA7	0
NM_001101362	KBTBD13	0
NM_152393	KLHL40	0
NM_006063	KLHL41	0
NM_018847	KLHL9	0
NM_000426	LAMA2	0
NM_002294	LAMP2	0
NM_004737	LARGE1	0
NM_198271	LMOD3	0
NM_032446	MEGF10	0
NM_006077	MICU1	0
NM_018116	MSTO1	0
NM_000252	MTM1	0
NM_001077525	MTMR14	0
NM_002465	MYBPC1	0
NM_000256	MYBPC3	0
NM_017534	MYH2	0
NM_002470	MYH3	0
NM_000257	MYH7	0
NM_002472	MYH8	0
NM_079420	MYL1	0
NM_032608	MYO18B	0
NM_001271208	NEB	0
NM_002532	NUP88	0
NM_032790	ORAI1	0
NM_022068	PIEZO2	0
NM_000445	PLEC	0
NM_001243766	POMGNT1	0
NM_032806	POMGNT2	0
NM_032237	POMK	0
NM_007171	POMT1	0
NM_013382	POMT2	0
NM_000540	RYR1	0
NM_000334	SCN4A	0
NM_020451	SEPN1	0
NM_001037633	SIL1	0
NM_005876	SPEG	0
NM_014370	SRPK3	0
NM_145064	STAC3	0
NM_003156	STIM1	0
NM_024074	TMEM38A	0
NM_014254	TMEM5	0
NM_003282	TNNI2	0
NM_003283	TNNT1	0
NM_006757	TNNT3	0
NM_003289	TPM2	0
NM_152263	TPM3	0
NM_021942	TRAPPC11	0
NM_001267550	TTN	0
NM_001017980	VMA21	0
NM_018668	VPS33B	0
NM_018684	ZC4H2	0
