#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonSEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
4286	MITF;NM_000248.4	3	+	69985863	70014409	69985863	70014409	9	69985863,69986962,69988238,69990376,69998191,70000952,70005595,70008413,70013987	69985916,69987210,69988342,69990492,69998329,70001047,70005691,70008581,70014409	nan	MITF	nan	nan	0,0,0,0,0,0,0,0,0
8626	TP63;NM_001114980.2	3	+	189507579	189612301	189507579	189612301	12	189507579,189526050,189582010,189584460,189585611,189586358,189587102,189590637,189604172,189607118,189608567,189611984	189507641,189526325,189582217,189584596,189585741,189586515,189587205,189590794,189604350,189607283,189608681,189612301	nan	TP63	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0
1523	CUX1;NM_001913.5	7	+	101459300	101926392	101459300	101926392	23	101459300,101559384,101671367,101713608,101740633,101747605,101754967,101758476,101801829,101813715,101821738,101833082,101837111,101838776,101916626,101917504,101918507,101921209,101923318,101924085,101925121,101925993,101926302	101459383,101559515,101671435,101713707,101740791,101747749,101755064,101758563,101801898,101813840,101821947,101833161,101837180,101838893,101916774,101917591,101918640,101921346,101923422,101924162,101925222,101926078,101926392	nan	CUX1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673	BRAF;NM_001374258.1	7	-	140426283	140624513	140426283	140624513	20	140426283,140434406,140439601,140449076,140453064,140453976,140476701,140477780,140481365,140482810,140485478,140487337,140494097,140500151,140501201,140507749,140508681,140534398,140549900,140624355	140426326,140434580,140439756,140449228,140453203,140454043,140476898,140477885,140481503,140482967,140485618,140487394,140494277,140500291,140501370,140507872,140508805,140534682,140550022,140624513	nan	BRAF	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029	CDKN2A;NM_058195.4	9	-	21970991	21994340	21970991	21994340	2	21970991,21994127	21971217,21994340	nan	CDKN2A	nan	nan	0,0
5727	PTCH1;NM_001083603.3	9	-	98209183	98279112	98209183	98279112	23	98209183,98211340,98212112,98215749,98218547,98220284,98221871,98224127,98229387,98231022,98232084,98238305,98239030,98239818,98240326,98241271,98242240,98242661,98244220,98244405,98247956,98268678,98278894	98209743,98211615,98212232,98215912,98218705,98220585,98222075,98224290,98229717,98231445,98232223,98238451,98239149,98239994,98240478,98241439,98242382,98242880,98244332,98244495,98248166,98268891,98279112	nan	PTCH1	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3265	HRAS;NM_176795.4	11	-	533285	534332	533285	534332	4	533285,533442,533755,534201	533368,533622,533954,534332	nan	HRAS	nan	nan	0,0,0,0
23269	MGA;NM_001080541.2	15	+	41961082	42059488	41961082	42059488	22	41961082,41988262,41991050,41991251,41999915,42000291,42002878,42005338,42019367,42021351,42026709,42028368,42032240,42040824,42041298,42046624,42049975,42052510,42053926,42054316,42057073,42058191	41962166,41989231,41991149,41991367,42000067,42000416,42003557,42005704,42019614,42021557,42026802,42028906,42032411,42041135,42042823,42046775,42050047,42052737,42054058,42054570,42057270,42059488	nan	MGA	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6929	TCF3;NM_001136139.4	19	-	1611695	1650257	1611695	1650257	18	1611695,1612195,1615674,1619099,1619304,1619768,1620956,1621121,1621826,1622042,1622301,1623939,1625564,1627347,1632026,1632320,1646343,1650165	1611858,1612442,1615830,1619243,1619483,1619862,1621055,1621200,1621979,1622232,1622424,1624009,1625717,1627435,1632125,1632414,1646436,1650257	nan	TCF3	nan	nan	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2778	GNAS;NM_016592.5	20	+	57415151	57415909	57415151	57415909	1	57415151	57415909	nan	GNAS	nan	nan	0
