Instructions:			
"· Add genes symbols and/or transcripts to a panel in Moka
· Add panel description to Moka
· Answer following questions:"		VCP1_FH_R134	
			
1. Pan number of bed file to be created		Pan4099	
2. Panel description/name (fill in a-c from Moka)		VCP1_FH_R134 Full_SNV_FH_Greenv1.2 -30/+30 chr2:21227942-21235533 Viapath	
2. a) Category		VCP1_FH_R134 Full_SNV_FH_Greenv1.2	
2. b) SubCategory		-10/+10 chr2:21227942-21235533 Viapath	
2. c) Panel		VCP1_FH_R134 Full_SNV_FH_Greenv1.2 -10/+10 chr2:21227942-21235533 
3. Is this BED file for RPKM?		No	
4. a) Is this BED file exclusively based on coordinates provided by a supplier 		No	
4. b) If yes, does this need further padding?		N/A	
5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts) Specific transcripts - see Moka		Yes - see below	
5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)		No	
6. What padding is required around the exons?		10bp 	
7. a) Should UTRs be included for ALL genes?		N/A	
7. b) Should UTRs be padded?		N/A	
8. a) Are UTRs required for SOME genes? 		Only for LDLR	
8. b) Please list genes/transcripts		NM_000527	
8. c) Should UTRs be padded?		10bp 	
9. Any additional BED files to be included in this BED file? 			
10. Are any further regions required to be added?		APOB chr2:21227942-21235533	
Requested by:			
Requested date:			
			
		Gene Name	Transcript
		LDLR	NM_000527
		LDLRAP1	NM_015627
		APOB	
		PCSK9	NM_174936
