"DOC333	Revision1			",,,
"Instructions:		",,,
All transcripts and gene symbols must be confirmed by a Clinical Scientist. ,,,
Check if transcript is available in DSS if not use MANE.,,,
"Create bedfile Pan number in Moka.	",,,
"Answer following questions				",,,
"Please save this as a CSV file.				",,,
"				",,,
"1. Pan number of bed file to be created	PanXXXX			",Pan5333,,
"2. Panel description/name (fill in a-c from Moka)				",CP205 CNV BED- R164 Dec2025 CNV calling,,
"2. a) Category	 eg capture kit			","no padding, 5UTR",,
"2. b) SubCategory	 description of what is included, eg padding, UTR inclusion (or not),  intronic BED files,  any modifications from an existing BED file",,,
"2. c) Panel	 Category and subcategory combined			",,,
"3a). Is this BED file used for Exome depth?	Yes/No			",Yes,,
"3b). Is this BED file used to generate read counts or filter calls?	Yes/No/N/A			","Yes, filter calls",,
"4. a) Is this BED file exclusively based on coordinates provided by a supplier? 	Yes/No/N/A			",No,,
"4. b) If yes does this need further padding?	Yes/No/N/A			",N/A,,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene)	Yes/No/N/A			",Yes,,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)	Yes/No/N/A			",Yes,,
"6. What padding is required around the exons?(usually 10, 30 or 50bp)",0,,
"7. a) Should UTRs be included for ALL genes?	Yes/No			",No,,
"7. b) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",No,,
"8. a) Are UTRs required for SOME genes? 	Yes/No			",No,,
"8. b) Please list genes/transcripts	Yes/No/N/A			",N/A,,
"8. c) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",N/A,,
"9. Any additional BED files to be included in this BED file?	 (eg intronic region BED files, SNP sites,  CNV control sites etc)	",No,,
"10. Are any further regions required to be added?	Yes/No			",No,,
"11. Are there any regions in the below transcripts that should be excluded?	 			",No,,
"Requested by:				",Heidi Kuoppamaa,,
"Requested date:				",12/12/2025,,
"				",,,
"Please list gene and transcripts below.				",,,
,,,
"Gene Name				",Transcript,,
ATP2C1,NM_001378687.1,,
CAST,NM_001750.7,NM_001042440.2,NM_001190442.1
CDSN,NM_001264.5,,
COL17A1,NM_000494.4,,
COL7A1,NM_000094.4,,
CSTA,NM_005213.4,,
DSG1,NM_001942.4,,
DSP,NM_004415.4,,
DST,NM_001374736.1,NM_001723.7,
EXPH5,NM_015065.3,,
FERMT1,NM_017671.5,,
FLG2,NM_001014342.3,,
IKBKG,NM_001099857.5,,
ITGA3,NM_002204.4,,
ITGA6,NM_000210.4,NM_001394928.1,
ITGB4,NM_000213.5,,
JUP,NM_002230.4,,
KLHL24,NM_017644.3,,
KRT1,NM_006121.4,,
KRT10,NM_000421.5,,
KRT14,NM_000526.5,,
KRT5,NM_000424.4,,
LAMA3,NM_198129.4,NM_000227.6,
LAMB3,NM_000228.3,,
LAMC2,NM_005562.3,,
PKP1,NM_001005337.3,,
PLEC,NM_201384.3,NM_201378.4,NM_201380.2
SERPINB8,NM_002640.4,ENST00000397985.2,
SLC39A4,NM_130849.4,,
TGM5,NM_201631.4,,
ATP2A2,NM_170665.4,,
