"DOC333	Revision1			",,
"Instructions:		",,
All transcripts and gene symbols must be confirmed by a Clinical Scientist. ,,
Check if transcript is available in DSS if not use MANE.,,
"Create bedfile Pan number in Moka.	",,
"Answer following questions				",,
"Please save this as a CSV file.				",,
"				",,
"1. Pan number of bed file to be created	PanXXXX			",Pan5329,
"2. Panel description/name (fill in a-c from Moka)				",CP205 CNV BED- R81 Dec2025 CNV calling,
"2. a) Category	 eg capture kit			","no padding, 5UTR",
"2. b) SubCategory	 description of what is included, eg padding, UTR inclusion (or not),  intronic BED files,  any modifications from an existing BED file",,
"2. c) Panel	 Category and subcategory combined			",,
"3a). Is this BED file used for Exome depth?	Yes/No			",Yes,
"3b). Is this BED file used to generate read counts or filter calls?	Yes/No/N/A			","Yes, filter calls",
"4. a) Is this BED file exclusively based on coordinates provided by a supplier? 	Yes/No/N/A			",No,
"4. b) If yes does this need further padding?	Yes/No/N/A			",N/A,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene)	Yes/No/N/A			",Yes,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)	Yes/No/N/A			",Yes,
"6. What padding is required around the exons?(usually 10, 30 or 50bp)",0,
"7. a) Should UTRs be included for ALL genes?	Yes/No			",No,
"7. b) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",No,
"8. a) Are UTRs required for SOME genes? 	Yes/No			",No,
"8. b) Please list genes/transcripts	Yes/No/N/A			",N/A,
"8. c) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",N/A,
"9. Any additional BED files to be included in this BED file?	 (eg intronic region BED files, SNP sites,  CNV control sites etc)	",No,
"10. Are any further regions required to be added?	Yes/No			",Yes,
"11. Are there any regions in the below transcripts that should be excluded?	 			",No,
"Requested by:				",Heidi Kuoppamaa,
"Requested date:				",12/12/2025,
"				",,
"Please list gene and transcripts below.				",,
,,
"Gene Name				",Transcript,
ACTA1,NM_001100.4,
ACTN2,NM_001103.4,
ADSS1,NM_152328.5,
ASCC3,NM_006828.4,
BIN1,NM_139343.3,
CACNA1S,NM_000069.3,
CFL2,NM_138638.5,
COL12A1,NM_004370.6,
COL6A1,NM_001848.3,
COL6A2,NM_001849.4,NM_058174.3
COL6A3,NM_004369.4,
COX6A2,NM_005205.4,
DNM2,NM_001005361.3,
DOK7,NM_173660.5,
ECEL1,NM_004826.4,
EPG5,NM_020964.3,
FKBP14,NM_017946.4,
FXR1,NM_005087.4,
HACD1,NM_014241.4,
HNRNPA2B1,NM_002137.4,
KBTBD13,NM_001101362.3,
KLHL40,NM_152393.4,
KLHL41,NM_006063.3,
LMNA,NM_170707.4,NM_005572.4
LMOD3,NM_198271.5,
MAP3K20,NM_016653.3,
MEGF10,NM_001256545.2,
MICU1,NM_001195518.2,
MTM1,NM_000252.3,
MYBPC1,NM_002465.4,
MYH2,NM_017534.6,
MYH3,NM_002470.4,
MYH7,NM_000257.4,
MYL1,NM_079420.3,
MYL2,NM_000432.4,
MYMK,NM_001080483.3,
MYO18B,NM_032608.7,
MYOD1,NM_002478.5,
MYPN,NM_032578.4,
NEB,NM_001164508.2,NM_001164507.2
ORAI1,NM_032790.4,
PAX7,NM_001135254.2,NM_002584.2
PIEZO2,NM_001378183.1,NM_022068.2
PYROXD1,NM_024854.5,
RYR1,NM_000540.3,
RYR3,NM_001036.6,
SCN4A,NM_000334.4,
SELENON,NM_020451.3,
SLC25A4,NM_001151.4,
SPEG,NM_005876.5,
STAC3,NM_145064.3,
STIM1,NM_001382567.1,
TNNC2,NM_003279.3,
TNNI2,NM_003282.4,
TNNT1,NM_003283.6,
TNNT3,NM_006757.4,
TPM2,NM_003289.4,
TPM3,NM_152263.4,
TRIP4,NM_016213.5,
TTN,NM_001267550.2,
VMA21,NM_001017980.4,
ASCC1,NM_001198800.3,
COL13A1,NM_001368882.1,NM_001130103.1
COL25A1,NM_198721.4,
DNAJB4,NM_007034.5,
GBE1,NM_000158.4,
GFER,NM_005262.3,
KY,NM_178554.6,
LETM1,NM_012318.3,
MLIP,NM_001281747.2,NM_138569.2
SPTBN4,NM_020971.3,
TRDN,NM_006073.4,
UNC45B,NM_001267052.2,
ZC4H2,NM_018684.4,
SRPK3,NM_014370.4,
,,
Region,,
FXR1 exon in ENST00000482125.1,chr3:180688803-180689003,
