"DOC333	Revision1			",,,
"Instructions:		",,,
All transcripts and gene symbols must be confirmed by a Clinical Scientist. ,,,
Check if transcript is available in DSS if not use MANE.,,,
"Create bedfile Pan number in Moka.	",,,
"Answer following questions				",,,
"Please save this as a CSV file.				",,,
"				",,,
"1. Pan number of bed file to be created	PanXXXX			",Pan5328,,
"2. Panel description/name (fill in a-c from Moka)				",CP205 CNV BED- R79 Dec2025 CNV calling,,
"2. a) Category	 eg capture kit			","no padding, no UTR",,
"2. b) SubCategory	 description of what is included, eg padding, UTR inclusion (or not),  intronic BED files,  any modifications from an existing BED file",,,
"2. c) Panel	 Category and subcategory combined			",,,
"3a). Is this BED file used for Exome depth?	Yes/No			",Yes,,
"3b). Is this BED file used to generate read counts or filter calls?	Yes/No/N/A			","Yes, filter calls",,
"4. a) Is this BED file exclusively based on coordinates provided by a supplier? 	Yes/No/N/A			",No,,
"4. b) If yes does this need further padding?	Yes/No/N/A			",N/A,,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene)	Yes/No/N/A			",Yes,,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)	Yes/No/N/A			",Yes,,
"6. What padding is required around the exons?(usually 10, 30 or 50bp)",0,,
"7. a) Should UTRs be included for ALL genes?	Yes/No			",No,,
"7. b) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",No,,
"8. a) Are UTRs required for SOME genes? 	Yes/No			",No,,
"8. b) Please list genes/transcripts	Yes/No/N/A			",N/A,,
"8. c) Should UTRs be padded? and if so by how much	Yes(10/30/50bp)/No/N/A			",N/A,,
"9. Any additional BED files to be included in this BED file?	 (eg intronic region BED files, SNP sites,  CNV control sites etc)	",No,,
"10. Are any further regions required to be added?	Yes/No			",Yes,,
"11. Are there any regions in the below transcripts that should be excluded?	 			",No,,
"Requested by:				",Heidi Kuoppamaa,,
"Requested date:				",12/12/2025,,
"				",,,
"Please list gene and transcripts below.				",,,
,,,
"Gene Name				",Transcript,,
B3GALNT2,NM_152490.5,,
B4GAT1,NM_006876.3,,
BET1,NM_005868.6,,
CAVIN1,NM_012232.6,,
CHKB,NM_005198.5,,
COL12A1,NM_004370.6,,
COL6A1,NM_001848.3,,
COL6A2,NM_001849.4,NM_058174.3,
COL6A3,NM_004369.4,,
DAG1,NM_004393.6,,
DMD,NM_004006.3,,
DOLK,NM_014908.4,,
DPM2,NM_003863.4,,
DPM3,NM_153741.2,,
DTNA,NM_001386795.1,NM_001390.4,
EMD,NM_000117.3,,
FHL1,NM_001159699.2,NM_001159702.3,
FKRP,NM_024301.5,,
FKTN,NM_001079802.2,,
GGPS1,NM_004837.4,,
GMPPB,NM_021971.4,NM_013334.3,
GOLGA2,NM_001366244.2,,
GOSR2,NM_004287.5,,
HNRNPA2B1,NM_002137.4,,
INPP5K,NM_016532.4,,
CRPPA,NM_001101426.4,,
ITGA7,NM_002206.3,,
JAG2,NM_002226.5,,
LAMA2,NM_000426.4,,
LARGE1,NM_133642.5,,
LMNA,NM_170707.4,NM_005572.4,
MICU1,NM_001195518.2,,
MSTO1,NM_018116.4,,
PLEC,NM_201384.3,NM_201378.4,NM_000445.3
POGLUT1,NM_152305.3,,
POMGNT1,NM_017739.4,,
POMGNT2,NM_032806.6,,
POMK,NM_032237.5,,
POMT1,NM_001077365.2,NM_007171.3,
POMT2,NM_013382.7,,
PYROXD1,NM_024854.5,,
SELENON,NM_020451.3,,
SIL1,NM_022464.5,,
SYNE1,NM_182961.4,NM_001347702.2,
RXYLT1,NM_014254.3,,
TRAPPC11,NM_021942.6,,
,,,
Regions,,,
DMD_ex1,chrX:33357376-33357505,,
