"Instructions:",,,,
"Add genes symbols and/or transcripts to a panel in Moka
Add panel description to Moka
Answer following questions:","VCP2_R259",,,
,,,,
"1. Pan number of bed file to be created","Pan5155",,,
"2. Panel description/name (fill in a-c from Moka)",,,,
"2. a) Category","VCP2 ",,,
"2. b) SubCategory","R259 intronic sites for cnv",,,
"2. c) Panel",,,,
"3. Is this BED file for RPKM?","Exome depth variant calling",,,
"4. a) Is this BED file exclusively based on coordinates provided by a supplier ","No",,,
"4. b) If yes, does this need further padding?","N/A",,,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts) Specific transcripts - see Moka","N/A",,,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)","N/A",,,
"6. What padding is required around the exons?","N/A",,,
"7. a) Should UTRs be included for ALL genes?","N/A",,,
"7. b) Should UTRs be padded?","N/A",,,
"8. a) Are UTRs required for SOME genes? ","N/A",,,
"8. b) Please list genes/transcripts","N/A",,,
"8. c) Should UTRs be padded?","N/A",,,
"9. Any additional BED files to be included in this BED file? ","N/A",,,
"10. Are any further regions required to be added?","Yes - see below",,,
"Requested by:","L.Hawkes",,,
"Requested date:","05/07/2023",,,
,,,,
,"chr","start","end","target"
,8,90945564,90945764,"NBN_3UTR"
