"Instructions:",,,,
"Add genes symbols and/or transcripts to a panel in Moka
Add panel description to Moka
Answer following questions:","VCP2_R211",,,
,,,,
"1. Pan number of bed file to be created","Pan5154",,,
"2. Panel description/name (fill in a-c from Moka)",,,,
"2. a) Category","VCP2 ",,,
"2. b) SubCategory","R211 Intronic sites for CNV",,,
"2. c) Panel",,,,
"3. Is this BED file for RPKM?","Exome depth variant calling",,,
"4. a) Is this BED file exclusively based on coordinates provided by a supplier ","No",,,
"4. b) If yes, does this need further padding?","N/A",,,
"5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts) Specific transcripts - see Moka","N/A",,,
"5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state)","N/A",,,
"6. What padding is required around the exons?","N/A",,,
"7. a) Should UTRs be included for ALL genes?","N/A",,,
"7. b) Should UTRs be padded?","N/A",,,
"8. a) Are UTRs required for SOME genes? ","N/A",,,
"8. b) Please list genes/transcripts","N/A",,,
"8. c) Should UTRs be padded?","N/A",,,
"9. Any additional BED files to be included in this BED file? ","N/A",,,
"10. Are any further regions required to be added?","Yes - see below",,,
"Requested by:","L.Hawkes",,,
"Requested date:","05/07/2023",,,
,,,,
,,,,
,"chr","start","end","target"
,2,47614038,47614198,"EPCAM_3UTR"
,2,47710227,47710387,"MSH2_3UTR"
,2,48034020,48034180,"MSH6_3UTR"
,3,37092207,37092367,"MLH1_3UTR"
,5,112181806,112181966,"APC_3UTR"
,7,6010344,6010503,"PMS2_3UTR"
,10,88684815,88684975,"BMPR1A_3UTR"
,10,89728402,89728562,"PTEN_3UTR"
,12,133200317,133200477,"POLE_3UTR"
,15,33037312,33037472,"GREM1_3UTR"
,17,56429831,56429991,"RNF43_3UTR"
,18,48611281,48611441,"SMAD4_3UTR"
,19,1228304,1228464,"STK11_3UTR"
,19,50921296,50921456,"POLD1_3UTR"
